set	sheetRow	book	page	line	class	left	right	pair	verdict	inFinal
911-every-non-period-insertion	58	911	483	8	punct	;	W	2001; White	space	yes
911-every-non-period-insertion	59	911	485	50	punct	:	T	Europe: The	space	yes
911-every-non-period-insertion	60	911	487	56	punct	,	T	report, Timeline	space	yes
911-every-non-period-insertion	61	911	491	7	punct	;	V	2004); Virginia	space	yes
911-every-non-period-insertion	62	911	491	22	punct	,	“	report, “A	space	yes
911-every-non-period-insertion	63	911	494	22	punct	:	V	Terrorism: Visas	space	yes
911-every-non-period-insertion	64	911	495	23	punct	:	T	Design: The	space	yes
911-every-non-period-insertion	65	911	496	29	punct	,	“	Clinton, “Keep-	space	yes
911-every-non-period-insertion	66	911	497	16	punct	,	“	tion, “Forging	space	yes
911-every-non-period-insertion	67	911	499	2	punct	:	T	Wars: The	space	yes
911-every-non-period-insertion	68	911	500	15	punct	;	V	2004); Vice	space	yes
911-every-non-period-insertion	69	911	500	44	punct	,	“	06863, “Afghanistan:	space	yes
911-every-non-period-insertion	70	911	503	23	punct	,	“	memo, “Bin	space	yes
911-every-non-period-insertion	71	911	505	24	punct	:	Y	“Re: Your	space	yes
911-every-non-period-insertion	72	911	506	51	punct	,	Y	occasion, Yousef	space	yes
911-every-non-period-insertion	73	911	507	10	punct	,	Y	1996, Yousef	space	yes
911-every-non-period-insertion	74	911	513	56	punct	,	“	Bernstein, “Germans	space	yes
911-every-non-period-insertion	75	911	515	60	punct	;	T	1999; Treasury	space	yes
911-every-non-period-insertion	76	911	516	1	punct	;	Y	2000; Youssef	space	yes
911-every-non-period-insertion	77	911	516	48	punct	;	T	2002; Treasury	space	yes
911-every-non-period-insertion	78	911	516	48	punct	:	T	“Hawala: The	space	yes
911-every-non-period-insertion	79	911	517	58	punct	,	Y	memorandum, Yarkas	space	yes
911-every-non-period-insertion	80	911	520	6	punct	,	W	that, White	space	yes
911-every-non-period-insertion	81	911	522	7	punct	:	T	CT: The	space	yes
911-every-non-period-insertion	82	911	523	47	punct	,	“	memo, “The	space	yes
911-every-non-period-insertion	83	911	523	49	punct	:	T	Wars: The	space	yes
911-every-non-period-insertion	84	911	527	36	punct	;	W	2004; White	space	yes
911-every-non-period-insertion	85	911	528	17	punct	,	“	Gellman, “A	space	yes
911-every-non-period-insertion	86	911	532	28	punct	;	V	City; Vicki	space	yes
911-every-non-period-insertion	87	911	543	16	punct	,	W	23), Wail	space	yes
911-every-non-period-insertion	88	911	543	19	punct	,	K	12), Khalid	space	yes
911-every-non-period-insertion	89	911	546	8	punct	,	V	Alexandria, Virginia,	space	yes
911-every-non-period-insertion	90	911	555	55	punct	,	W	email, William	space	yes
911-every-non-period-insertion	91	911	559	7	punct	,	“	telex, “Zacarias	space	yes
911-every-non-period-insertion	92	911	560	3	punct	;	W	meeting; WTC	space	yes
911-every-non-period-insertion	93	911	563	44	punct	,	W	3, WTC	space	yes
911-every-non-period-insertion	94	911	566	24	punct	,	W	recording, WTC	space	yes
911-every-non-period-insertion	95	911	567	15	punct	;	T	2004); Thomas	space	yes
911-every-non-period-insertion	96	911	570	54	punct	,	V	Arlington, Va.,	space	yes
911-every-non-period-insertion	97	911	571	4	punct	,	V	Arlington, Va.,	space	yes
911-every-non-period-insertion	98	911	571	13	punct	,	V	ton, Va.,	space	yes
911-every-non-period-insertion	99	911	571	15	punct	,	V	Arlington, Va.,	space	yes
911-every-non-period-insertion	100	911	574	57	punct	,	T	Authority, Tampa	space	yes
911-every-non-period-insertion	101	911	576	12	punct	,	V	transcript, Vice	space	yes
911-every-non-period-insertion	102	911	576	60	punct	;	W	2001; White	space	yes
911-every-non-period-insertion	103	911	577	8	punct	,	V	transcript, Vice	space	yes
911-every-non-period-insertion	104	911	577	32	punct	,	V	notes, Victoria	space	yes
911-every-non-period-insertion	105	911	578	53	punct	,	A	Prange, At	space	yes
911-every-non-period-insertion	106	911	578	53	punct	:	T	Slept: The	space	yes
911-every-non-period-insertion	107	911	580	40	punct	”	T	Jews.” The	space	yes
911-every-non-period-insertion	108	911	581	24	punct	:	V	Think: Values,	space	yes
911-every-non-period-insertion	109	911	584	31	punct	:	W	Harbor: Warning	space	yes
911-every-non-period-insertion	110	911	584	34	punct	:	T	Staff: The	space	yes
911-every-show-edge-insertion	0	911	145	2	punct	,	T	2, Tenet	space	yes
911-every-show-edge-insertion	1	911	193	40	punct	.	S	Encyclopedia. Six	space	yes
911-every-show-edge-insertion	2	911	197	32	punct	,	“	warned, “Foreign	space	yes
911-every-show-edge-insertion	3	911	223	30	punct	,	T	June, Tenet	space	yes
911-every-show-edge-insertion	4	911	230	38	punct	.	“	Cole. “The	space	yes
911-every-show-edge-insertion	5	911	377	35	punct	.	T	States. Terrorism	space	yes
911-every-show-edge-insertion	6	911	427	3	punct	.	T	divide. The	space	yes
911-every-show-edge-insertion	7	911	482	26	punct	,	N	Newsweek, Nov.	space	yes
911-every-show-edge-insertion	8	911	483	1	punct	,	N	Newsweek, Nov.	space	yes
911-every-show-edge-insertion	9	911	484	5	punct	,	F	Arabi, Feb.	space	yes
911-every-show-edge-insertion	10	911	487	11	punct	,	F	Laden, Feb.	space	yes
911-every-new-insertion-on-fixture-pages	0	911	19	6	punct	,	V	Arlington, Vir-	space	yes
911-every-new-insertion-on-fixture-pages	1	911	45	27	punct	.	“	ocean. “I	space	yes
911-every-new-insertion-on-fixture-pages	2	911	45	28	punct	.	P	...Okay. Push	space	yes
911-every-new-insertion-on-fixture-pages	3	911	45	33	punct	.	T	miles. Third,	space	yes
911-every-new-insertion-on-fixture-pages	4	911	45	40	punct	.	T	9:37:46. The	space	yes
911-every-new-insertion-on-fixture-pages	5	911	48	2	punct	.	W	area. Within	space	yes
911-every-new-insertion-on-fixture-pages	6	911	48	10	punct	.	T	dispute. The	space	yes
911-every-new-insertion-on-fixture-pages	7	911	48	18	punct	:	Y	Headquarters: Yes.	space	yes
911-every-new-insertion-on-fixture-pages	8	911	48	24	punct	.	T	ground. That’s	space	yes
911-every-new-insertion-on-fixture-pages	9	911	57	13	punct	.	T	Pentagon. The	space	yes
911-every-new-insertion-on-fixture-pages	10	911	57	13	punct	.	T	nation. The	space	yes
911-every-new-insertion-on-fixture-pages	11	911	57	27	punct	.	T	elsewhere. The	space	yes
911-every-new-insertion-on-fixture-pages	12	911	57	42	punct	.	T	back. This	space	yes
911-every-new-insertion-on-fixture-pages	13	911	489	46	punct	.	Y	v. Yousef,	space	yes
911-every-new-insertion-on-fixture-pages	14	911	489	53	punct	.	Y	v. Yousef,	space	yes
faa-every-insertion	0	faa	458	43	word	0	3	0 3,550	space	yes
faa-every-insertion	1	faa	458	43	word	0	1	11,980 16,820	space	yes
faa-every-insertion	2	faa	458	48	word	0	3	0 3,190	space	yes
faa-every-insertion	3	faa	459	31	note	2	M	M0.82 M0.80	space	yes
faa-every-insertion	4	faa	459	32	note	0	S	290 Speed	space	yes
faa-every-insertion	5	faa	459	42	note	0	S	390 Speed	space	yes
faa-every-insertion	6	faa	459	45	note	0	F	FL310 FL330	space	yes
faa-every-insertion	7	faa	459	45	note	0	F	FL350 FL370	space	yes
replay-every-font-change-insertion	0	replay	10	2	word	E	i	E instead	space	yes
replay-every-font-change-insertion	1	replay	10	7	word	E	p	E provides	space	yes
replay-every-font-change-insertion	2	replay	10	18	word	𝑗	a	𝑗 and	space	yes
replay-every-font-change-insertion	3	replay	10	18	word	𝑒	a	𝑒 and	space	yes
replay-every-font-change-insertion	4	replay	10	21	word	E	d	E depends	space	yes
replay-every-font-change-insertion	5	replay	10	35	word	E	t	≈E time	space	yes
replay-every-font-change-insertion	6	replay	10	36	word	𝑒	m	𝑒 must	space	yes
replay-every-font-change-insertion	7	replay	10	36	word	𝑒	a	𝑒 and	space	yes
replay-every-font-change-insertion	8	replay	10	39	word	E	t	≈E then	space	yes
replay-every-font-change-insertion	9	replay	10	41	word	𝑙	t	𝑅𝑒𝑝𝐶𝑙 to	space	yes
replay-every-font-change-insertion	10	replay	10	54	word	E	w	E window.	space	yes
replay-every-font-change-insertion	11	replay	10	77	word	E	i	E in	space	yes
replay-every-math-punctuation-insertion	0	replay	2	31	punct	)	v	𝑂(𝑛) vector	space	yes
replay-every-math-punctuation-insertion	1	replay	2	96	punct	)	a	hb𝑓) and	space	no
replay-every-math-punctuation-insertion	2	replay	3	73	punct	,	o	⟨𝑚𝑥.𝑗, offset.𝑗[],	space	yes
replay-every-math-punctuation-insertion	3	replay	3	73	punct	,	c	offset.𝑗[], counter.𝑗[]⟩,	space	yes
replay-every-math-punctuation-insertion	4	replay	4	11	punct	,	o	⟨𝑚𝑥.𝑗, offset.𝑗[],	space	yes
replay-every-math-punctuation-insertion	5	replay	4	11	punct	,	c	offset.𝑗[], counter.𝑗[]⟩	space	yes
replay-every-math-punctuation-insertion	6	replay	4	14	punct	,	e	𝑚𝑎𝑥(𝑚𝑥.𝑗, epoch.𝑗).	space	yes
replay-every-math-punctuation-insertion	7	replay	4	36	punct	,	e	←max(𝑚𝑥.𝑗, epoch.𝑗)	space	yes
replay-every-math-punctuation-insertion	8	replay	4	38	punct	)	t	new_offset) then	space	yes
replay-every-math-punctuation-insertion	9	replay	4	46	punct	,	o	⟨𝑚𝑥.𝑗, offset.𝑗[],	space	yes
replay-every-math-punctuation-insertion	10	replay	4	46	punct	,	c	offset.𝑗[], counter.𝑗[]⟩receives	space	yes
replay-every-math-punctuation-insertion	11	replay	4	47	punct	,	o	⟨𝑚𝑥.𝑚, offset.𝑚[],	space	yes
replay-every-math-punctuation-insertion	12	replay	4	47	punct	,	c	offset.𝑚[], counter.𝑚[]⟩.	space	yes
replay-every-math-punctuation-insertion	13	replay	4	65	punct	,	e	←max(𝑚𝑥.𝑗,𝑚𝑥.𝑚, epoch.𝑗)	space	yes
replay-every-math-punctuation-insertion	14	replay	4	69	punct	)	t	EqualOffset(𝑡𝑠.𝑗,𝑡𝑠.𝑐)∧EqualOffset(𝑡𝑠.𝑚,𝑡𝑠.𝑐) then	space	yes
replay-every-math-punctuation-insertion	15	replay	4	71	punct	,	c	←max(counter.𝑗.𝑘, counter.𝑚.𝑘)	space	yes
replay-every-math-punctuation-insertion	16	replay	4	73	punct	)	t	EqualOffset(𝑡𝑠.𝑗,𝑡𝑠.𝑐)∧¬EqualOffset(𝑡𝑠.𝑚,𝑡𝑠.𝑐) then	space	yes
replay-every-math-punctuation-insertion	17	replay	4	75	punct	)	t	if¬EqualOffset(𝑡𝑠.𝑗,𝑡𝑠.𝑐)∧EqualOffset(𝑡𝑠.𝑚,𝑡𝑠.𝑐) then	space	yes
replay-every-math-punctuation-insertion	18	replay	4	78	punct	)	t	if¬EqualOffset(𝑡𝑠.𝑗,𝑡𝑠.𝑐)∧¬EqualOffset(𝑡𝑠.𝑚,𝑡𝑠.𝑐) then	space	yes
replay-every-math-punctuation-insertion	19	replay	4	81	punct	,	a	1, and	space	yes
replay-every-math-punctuation-insertion	20	replay	4	88	word	]	r	[0,2,𝜖] respectively.	space	yes
replay-every-math-punctuation-insertion	21	replay	4	93	word	]	H	[3,𝑒,𝜖] Here,	space	yes
replay-every-math-punctuation-insertion	22	replay	4	103	punct	,	o	⟨𝑚𝑥.𝑒, offset.𝑒[],	space	yes
replay-every-math-punctuation-insertion	23	replay	4	103	punct	,	c	offset.𝑒[], counter.𝑒[]⟩and	space	yes
replay-every-math-punctuation-insertion	24	replay	5	10	punct	)	t	𝑡2.offset.𝑗) then	space	yes
replay-every-math-punctuation-insertion	25	replay	5	14	punct	,	o	⟨𝑚𝑥.𝑓, offset.𝑓[],	space	yes
replay-every-math-punctuation-insertion	26	replay	5	14	punct	,	c	offset.𝑓[], counter.𝑓[]⟩,	space	yes
replay-every-math-punctuation-insertion	27	replay	6	56	punct	)	t	𝑂(𝑥) time	space	yes
replay-every-math-punctuation-insertion	28	replay	6	66	punct	)	t	𝑂(𝑥) time	space	yes
replay-every-math-punctuation-insertion	29	replay	7	16	punct	,	E	𝛼,𝛿, E	space	yes
replay-every-math-punctuation-insertion	30	replay	9	49	punct	)	c	𝑂(𝑛) complexity	space	yes
wallace-math-punctuation-sample-50-seed-120	0	wallace	22	14	punct	)	w	6) when	space	yes
wallace-math-punctuation-sample-50-seed-120	1	wallace	24	39	punct	)	i	(subtract) in	space	yes
wallace-math-punctuation-sample-50-seed-120	2	wallace	25	20	punct	;	u	5; use	space	yes
