page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	taggedLines	lines
243	41	12	false	false	true	partial	-	1	unknownOrigin=1	38	44
245	26	8	true	false	true	partial	Do@L215	0	-	0	25
246	79	25	false	false	true	partial	Do@L215	0	-	0	74
247	94	15	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	92	94
248	102	17	false	false	true	partial	-	2	mcidNotShownOnPage=2,unknownOrigin=2	95	101
249	130	29	false	false	true	partial	-	6	mcidNotShownOnPage=2,noLineAtOrigin=5,unknownOrigin=2	86	95
250	64	10	false	false	true	partial	Do@L215	0	-	0	57
251	82	29	false	false	true	partial	Do@L215	0	-	0	68
252	4	2	false	false	true	partial	Do@L215	0	-	0	3
253	14	4	true	false	true	partial	Do@L215	0	-	0	12
254	81	23	false	false	true	partial	Do@L215	0	-	0	64
255	41	7	false	false	true	partial	Do@L215	0	-	0	36
257	19	7	true	false	true	partial	Do@L215	0	-	0	18
258	83	17	false	false	true	partial	Do@L215	0	-	0	79
259	46	13	false	false	true	partial	Do@L215	0	-	0	43
260	59	9	false	false	true	partial	Do@L215	0	-	0	57
261	95	15	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	87	94
262	71	19	false	false	true	partial	Do@L215	0	-	0	67
263	69	11	false	false	true	partial	Do@L215	0	-	0	54
264	77	9	false	false	true	partial	Do@L215	0	-	0	68
265	47	15	false	false	true	partial	Do@L215	0	-	0	47
266	83	16	false	false	true	partial	Do@L215	0	-	0	77
267	89	11	false	false	true	partial	Do@L215	0	-	0	84
268	85	15	false	false	true	partial	Do@L215	0	-	0	86
269	36	6	false	false	true	all	-	0	-	32	33
270	52	9	false	false	true	partial	Do@L215	0	-	0	47
271	76	19	false	false	true	partial	Do@L215	0	-	0	77
272	96	18	false	false	true	partial	-	3	noLineAtOrigin=1,unknownOrigin=2	93	100
273	94	19	false	false	true	partial	-	2	mcidNotShownOnPage=1,unknownOrigin=2	90	99
274	111	21	false	false	true	partial	-	4	mcidNotShownOnPage=2,noLineAtOrigin=2,unknownOrigin=2	69	90
275	67	9	false	false	true	partial	Do@L215	0	-	0	61
276	65	20	false	false	true	partial	Do@L215	0	-	0	60
277	64	16	false	false	true	partial	Do@L215	0	-	0	59
278	4	2	false	false	true	partial	Do@L215	0	-	0	3
279	39	10	false	false	true	partial	Do@L215	0	-	0	36
280	79	20	false	false	true	partial	Do@L215	0	-	0	68
281	46	14	false	false	true	partial	Do@L215	0	-	0	41
282	50	16	false	false	true	partial	Do@L215	0	-	0	45
283	37	11	false	false	true	partial	Do@L215	0	-	0	34
284	39	10	false	false	true	partial	Do@L215	0	-	0	39
285	22	7	true	false	true	partial	Do@L215	0	-	0	21
286	42	10	false	false	true	notAttempted(pageImage)	-	0	-	0	37
287	83	17	false	false	true	partial	Do@L215	0	-	0	77
288	67	9	false	false	true	notAttempted(pageImage)	-	0	-	0	60
289	64	9	false	false	true	partial	Do@L215	0	-	0	57
290	23	7	false	false	true	partial	Do@L215	0	-	0	20
291	84	14	false	false	true	partial	Do@L215	0	-	0	79
292	40	7	false	false	true	partial	Do@L215	0	-	0	35
293	4	2	false	false	true	partial	Do@L215	0	-	0	3
294	20	5	false	false	true	partial	Do@L215	0	-	0	17
295	65	8	false	false	true	partial	Do@L215	0	-	0	63
296	77	11	false	false	true	partial	Do@L215	0	-	0	67
297	95	14	false	false	true	partial	-	2	mcidNotShownOnPage=2,unknownOrigin=2	81	94
298	45	19	false	false	true	partial	Do@L215	0	-	0	44
299	89	14	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	73	83
300	46	6	false	false	true	partial	Do@L215	0	-	0	46
301	101	25	false	false	true	partial	-	1	noLineAtOrigin=1	100	101
302	51	15	false	false	true	notAttempted(pageImage)	-	0	-	0	52
303	39	8	false	false	true	partial	Do@L215	0	-	0	36
304	94	15	false	false	true	all	-	0	-	92	93
305	46	9	false	false	true	partial	Do@L215	0	-	0	46
306	52	6	false	false	true	partial	Do@L215	0	-	0	49
307	49	12	false	false	true	partial	Do@L215	0	-	0	46
308	53	11	false	false	true	partial	Do@L215	0	-	0	51
309	73	13	false	false	true	all	-	0	-	72	73
311	21	6	true	false	true	partial	Do@L215	0	-	0	21
312	100	14	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	84	99
313	64	9	false	false	true	partial	Do@L215	0	-	0	55
314	88	17	false	false	true	partial	Do@L215	0	-	0	85
315	103	23	false	false	true	partial	-	1	unknownOrigin=1	98	104
316	106	16	false	false	true	partial	-	2	noLineAtOrigin=1,unknownOrigin=1	93	105
317	55	12	false	false	true	partial	Do@L215	0	-	0	50
318	53	23	false	false	true	partial	Do@L215	0	-	0	49
319	105	24	false	false	true	all	-	0	-	103	104
320	94	38	false	false	true	partial	-	2	unknownOrigin=2	88	95
321	48	14	false	false	true	partial	Do@L215	0	-	0	44
322	96	33	false	false	true	all	-	0	-	96	97
323	102	22	false	false	true	partial	Do@L215	0	-	0	97
324	4	2	false	false	true	partial	Do@L215	0	-	0	3
325	43	8	false	false	true	all	-	0	-	41	42
326	70	14	false	false	true	partial	-	2	mcidNotShownOnPage=2,unknownOrigin=2	48	68
327	2	1	false	false	true	all	-	0	-	1	2
328	93	35	false	false	true	partial	-	5	mcidNotShownOnPage=2,noLineAtOrigin=3,unknownOrigin=2	92	108
329	34	8	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	26	32
330	6	2	false	false	true	all	-	0	-	4	5
331	92	29	false	false	true	partial	-	5	mcidNotShownOnPage=2,unknownOrigin=5	73	94
332	6	2	false	false	true	all	-	0	-	4	5
333	39	18	false	false	true	partial	-	3	unknownOrigin=3	42	51
334	65	12	false	false	true	partial	-	3	unknownOrigin=3	38	66
335	20	7	true	false	true	partial	Do@L215	0	-	0	19
336	100	17	false	false	true	all	-	0	-	96	96
337	51	14	false	false	true	partial	Do@L215	0	-	0	47
338	32	7	false	false	true	partial	Do@L215	0	-	0	27
339	96	16	false	false	true	partial	-	2	mcidNotShownOnPage=2,unknownOrigin=2	71	92
340	36	8	false	false	true	partial	Do@L215	0	-	0	34
341	28	7	false	false	true	partial	Do@L215	0	-	0	21
342	96	16	false	false	true	partial	-	3	mcidNotShownOnPage=3,unknownOrigin=3	55	80
343	5	1	false	false	true	partial	Do@L215	0	-	0	3
344	49	13	false	false	true	partial	Do@L215	0	-	0	47
345	36	12	false	false	true	partial	Do@L215	0	-	0	33
346	95	11	false	false	true	partial	-	5	mcidNotShownOnPage=5,unknownOrigin=5	16	68
347	5	2	true	false	true	partial	Do@L215	0	-	0	4
348	31	8	false	false	true	partial	Do@L215	0	-	0	26
349	50	12	false	false	true	partial	Do@L215	0	-	0	42
350	90	23	false	false	true	partial	Do@L215	0	-	0	83
351	45	11	false	false	true	partial	Do@L215	0	-	0	39
352	64	11	false	false	true	partial	Do@L215	0	-	0	61
353	91	21	false	false	true	partial	Do@L215	0	-	0	85
354	87	12	false	false	true	partial	-	3	mcidNotShownOnPage=3,unknownOrigin=3	50	74
355	50	16	false	false	true	partial	Do@L215	0	-	0	41
356	60	13	false	false	true	partial	Do@L215	0	-	0	55
357	37	8	false	false	true	partial	Do@L215	0	-	0	34
358	54	12	false	false	true	partial	Do@L215	0	-	0	54
359	26	6	false	false	true	partial	Do@L215	0	-	0	23
360	85	13	false	false	true	partial	Do@L215	0	-	0	83
361	41	10	false	false	true	partial	Do@L215	0	-	0	38
362	101	23	false	false	true	partial	-	6	mcidNotShownOnPage=6,unknownOrigin=1	76	101
363	2	1	false	false	true	partial	Do@L215	0	-	0	2
364	8	8	false	false	true	partial	-	4	mcidNotShownOnPage=3,unknownOrigin=1	5	68
365	94	25	false	false	true	partial	unknownOrigin@L67	0	-	0	88
366	83	29	false	false	true	partial	-	3	mcidNotShownOnPage=3,unknownOrigin=3	54	78
367	70	12	false	false	true	partial	Do@L215	0	-	0	56
368	63	11	false	false	true	partial	Do@L215	0	-	0	45
369	95	28	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	91	94
370	89	23	false	false	true	partial	-	1	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=1	79	82
371	28	5	false	false	true	partial	Do@L215	0	-	0	24
372	61	23	false	false	true	all	-	0	-	60	61
373	5	1	false	false	true	partial	Do@L215	0	-	0	3
374	2	1	true	false	true	partial	Do@L215	0	-	0	2
376	18	5	true	false	true	partial	Do@L215	0	-	0	14
377	64	19	false	false	true	partial	Do@L215	0	-	0	63
378	83	22	false	false	true	partial	-	2	unknownOrigin=2	73	82
379	71	22	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	53	66
380	4	2	false	false	true	all	-	0	-	2	3
381	85	24	false	false	true	partial	-	5	mcidNotShownOnPage=1,unknownOrigin=5	56	83
382	97	23	false	false	true	partial	-	3	ambiguousOrigin=1,lineSharedWithUntaggedOrAmbiguousShow=1,unknownOrigin=2	85	95
383	29	5	false	false	true	partial	Do@L215	0	-	0	29
384	65	13	false	false	true	partial	Do@L215	0	-	0	64
385	91	16	false	false	true	partial	-	2	unknownOrigin=2	84	92
386	53	14	false	false	true	all	-	0	-	53	54
