# faa-phak-8083-25c pages 1-522; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ItalicAngle	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold	name slope	name rule italic	slope-aware italic
  p57	TrueType map unsupported	￼
  p58	TrueType map unsupported+TrueType no ToUnicode	￼
  p61	TrueType map unsupported	￼
  p61	TrueType map unsupported	￼
  p75	TrueType map unsupported	￼
  p85	TrueType map unsupported+TrueType no ToUnicode	￼
  p86	TrueType no ToUnicode	￼
  p87	TrueType map unsupported+TrueType no ToUnicode	￼
  p87	TrueType no ToUnicode	Figure 3-22. Analog and digital indications for glideslope interceptio
  p87	TrueType map unsupported+TrueType no ToUnicode	￼
  p90	TrueType map unsupported	￼
  p90	TrueType map unsupported	￼
  p95	TrueType no ToUnicode	￼
  p99	TrueType map unsupported	￼
  p107	TrueType map unsupported	￼
  p109	TrueType map unsupported	￼
