page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
241	139	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
242	134	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
243	85	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
244	198	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
245	167	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
246	76	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
247	144	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
248	216	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
249	95	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
250	154	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
251	77	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
252	147	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
253	83	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
254	52	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
255	46	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
256	52	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
257	131	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
258	93	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
259	155	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
260	94	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
261	97	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
262	91	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
263	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
264	41	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
265	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
266	76	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
267	56	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
268	55	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
269	27	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
270	32	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
271	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
272	71	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
273	56	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
274	74	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
275	64	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
276	67	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
277	34	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
278	55	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
279	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
280	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
281	73	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
282	74	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
283	37	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
284	49	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
285	68	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
286	28	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
287	58	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
288	47	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
289	37	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
290	23	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
291	25	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
292	95	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
293	70	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
294	103	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
295	114	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
296	87	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
297	21	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
